groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00140,3.33
128,ideal,0002,0.00272,1.76
128,ideal,0004,0.00587,0.80
128,ideal,0008,0.01217,0.38
128,ideal,0016,0.01384,0.34
128,ideal,0032,0.01485,0.32
128,ideal,0064,0.01612,0.31
128,ideal,0128,0.01990,0.34
128,ideal,0256,0.04376,0.29
128,ideal,0512,0.09328,0.24
128,ideal,1024,0.19143,0.22
128,7B,0001,0.00023,3.19
128,7B,0002,0.00041,1.81
128,7B,0004,0.00078,0.96
128,7B,0008,0.00155,0.51
128,7B,0016,0.00094,0.85
128,7B,0032,0.00101,0.74
128,7B,0064,0.00125,0.61
128,7B,0128,0.00184,0.50
128,7B,0256,0.00335,0.55
128,7B,0512,0.00638,0.53
128,7B,1024,0.01282,0.48
128,13B,0001,0.00033,3.49
128,13B,0002,0.00061,1.91
128,13B,0004,0.00120,0.98
128,13B,0008,0.00249,0.48
128,13B,0016,0.00160,0.74
128,13B,0032,0.00167,0.67
128,13B,0064,0.00200,0.57
128,13B,0128,0.00264,0.56
128,13B,0256,0.00503,0.54
128,13B,0512,0.00983,0.58
128,13B,1024,0.01996,0.50
128,33B,0001,0.00056,3.41
128,33B,0002,0.00108,1.77
128,33B,0004,0.00219,0.88
128,33B,0008,0.00441,0.44
128,33B,0016,0.00250,0.78
128,33B,0032,0.00268,0.76
128,33B,0064,0.00317,0.70
128,33B,0128,0.00404,0.66
128,33B,0256,0.00800,0.65
128,33B,0512,0.01609,0.57
128,33B,1024,0.03208,0.52
128,70B,0001,0.00080,3.59
128,70B,0002,0.00157,1.82
128,70B,0004,0.00314,0.92
128,70B,0008,0.00638,0.45
128,70B,0016,0.00467,0.62
128,70B,0032,0.00484,0.61
128,70B,0064,0.00529,0.56
128,70B,0128,0.00626,0.66
128,70B,0256,0.01244,0.63
128,70B,0512,0.02509,0.56
128,70B,1024,0.05071,0.49
