groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00157,2.96
128,ideal,0002,0.00308,1.52
128,ideal,0004,0.00610,0.77
128,ideal,0008,0.01213,0.39
128,ideal,0016,0.01630,0.29
128,ideal,0032,0.01721,0.27
128,ideal,0064,0.01840,0.26
128,ideal,0128,0.02291,0.27
128,ideal,0256,0.05053,0.24
128,ideal,0512,0.10742,0.25
128,ideal,1024,0.22102,0.21
128,7B,0001,0.00029,2.60
128,7B,0002,0.00051,1.50
128,7B,0004,0.00098,0.78
128,7B,0008,0.00192,0.43
128,7B,0016,0.00123,0.69
128,7B,0032,0.00130,0.59
128,7B,0064,0.00150,0.52
128,7B,0128,0.00204,0.52
128,7B,0256,0.00389,0.50
128,7B,0512,0.00752,0.48
128,7B,1024,0.01477,0.50
128,13B,0001,0.00041,2.94
128,13B,0002,0.00078,1.56
128,13B,0004,0.00151,0.81
128,13B,0008,0.00297,0.41
128,13B,0016,0.00193,0.65
128,13B,0032,0.00202,0.58
128,13B,0064,0.00227,0.53
128,13B,0128,0.00304,0.53
128,13B,0256,0.00572,0.49
128,13B,0512,0.01116,0.63
128,13B,1024,0.02205,0.54
128,33B,0001,0.00070,2.80
128,33B,0002,0.00135,1.48
128,33B,0004,0.00264,0.76
128,33B,0008,0.00522,0.38
128,33B,0016,0.00307,0.66
128,33B,0032,0.00318,0.68
128,33B,0064,0.00352,0.66
128,33B,0128,0.00456,0.60
128,33B,0256,0.00877,0.64
128,33B,0512,0.01727,0.64
128,33B,1024,0.03436,0.57
128,70B,0001,0.00098,3.01
128,70B,0002,0.00189,1.55
128,70B,0004,0.00373,0.79
128,70B,0008,0.00740,0.40
128,70B,0016,0.00555,0.53
128,70B,0032,0.00568,0.52
128,70B,0064,0.00601,0.51
128,70B,0128,0.00690,0.60
128,70B,0256,0.01353,0.57
128,70B,0512,0.02707,0.60
128,70B,1024,0.05433,0.52
