groupsize,model,batch,tot_q_s,tot_q_2_4_s,tot_q_sp,tot_q_2_4_sp
128,ideal,0001,0.00121,0.00092,3.87,5.09
128,ideal,0002,0.00121,0.00092,3.88,5.11
128,ideal,0004,0.00121,0.00092,3.89,5.11
128,ideal,0008,0.00121,0.00092,3.89,5.13
128,ideal,0016,0.00122,0.00092,3.90,5.15
128,ideal,0032,0.00123,0.00094,3.83,5.04
128,ideal,0064,0.00154,0.00108,3.08,4.42
128,ideal,0128,0.00304,0.00214,1.55,2.21
128,ideal,0256,0.00668,0.00446,1.64,2.45
128,Llama7B,0016,0.00021,0.00016,3.61,4.61
128,Llama13B,0016,0.00030,0.00024,3.87,4.99
128,Llama33B,0016,0.00050,0.00038,3.87,5.05
128,Llama65B,0016,0.00075,0.00057,3.86,5.05
128,Falcon180B,0016,0.00205,0.00156,3.77,4.96
