groupsize,model,batch,tot_q_s,tot_q_2_4_s,tot_q_sp,tot_q_2_4_sp
128,ideal,0001,0.00122,0.00093,3.86,5.07
128,ideal,0002,0.00122,0.00093,3.90,5.11
128,ideal,0004,0.00122,0.00093,3.91,5.12
128,ideal,0008,0.00122,0.00093,3.91,5.13
128,ideal,0016,0.00122,0.00093,3.93,5.17
128,ideal,0032,0.00143,0.00100,3.33,4.77
128,ideal,0064,0.00283,0.00183,1.69,2.61
128,ideal,0128,0.00565,0.00366,1.01,1.56
128,ideal,0256,0.01130,0.00731,1.06,1.63
128,Llama7B,0016,0.00023,0.00018,3.80,4.67
128,Llama13B,0016,0.00032,0.00026,3.91,4.90
128,Llama33B,0016,0.00053,0.00041,3.92,5.04
128,Llama65B,0016,0.00077,0.00060,3.85,5.00
128,Falcon180B,0016,0.00207,0.00158,3.79,4.99
