M,N,K,group_size,dtype,transposed,ref,tinygemm,speedup
1,18432,73728,128,torch.bfloat16,False,0.005124680995941162,0.0014622211456298828,3.5047236262840373
2,18432,73728,128,torch.bfloat16,False,0.005190942287445068,0.0015986967086791992,3.2469837832678636
4,18432,73728,128,torch.bfloat16,False,0.005202605724334717,0.0018878722190856935,2.7558039531162586
8,18432,73728,128,torch.bfloat16,False,0.005251684188842773,0.0026959753036499023,1.9479719201184322
16,18432,73728,128,torch.bfloat16,False,0.005286297798156738,0.004394776821136474,1.2028592152239757
32,18432,73728,128,torch.bfloat16,False,0.005318851470947266,0.009151797294616699,0.5811810838594446
64,18432,73728,128,torch.bfloat16,False,0.005561375617980957,0.018433356285095216,0.3017017374355074
128,18432,73728,128,torch.bfloat16,False,0.006190185546875,0.03700019121170044,0.16730144748326328
256,18432,73728,128,torch.bfloat16,False,0.012587358951568603,0.07414722681045532,0.16976169565648125
512,18432,73728,128,torch.bfloat16,False,0.01998957633972168,0.14951915740966798,0.13369240895969056
1024,18432,73728,128,torch.bfloat16,False,0.03942782878875732,0.30019259452819824,0.13134177693731786

