M,N,K,group_size,dtype,transposed,ref,tinygemm,speedup
1,18432,73728,128,torch.bfloat16,False,0.0051776123046875,0.001597120761871338,3.2418414613938893
2,18432,73728,128,torch.bfloat16,False,0.0052263736724853516,0.0017546868324279784,2.9785221931902024
4,18432,73728,128,torch.bfloat16,False,0.005234732627868653,0.002086830139160156,2.508461292386437
8,18432,73728,128,torch.bfloat16,False,0.005289714336395263,0.003191831111907959,1.6572663624527637
16,18432,73728,128,torch.bfloat16,False,0.0053287863731384276,0.005603525638580322,0.950970284930917
32,18432,73728,128,torch.bfloat16,False,0.005395078659057617,0.01110539436340332,0.48580703057574803
64,18432,73728,128,torch.bfloat16,False,0.00561953067779541,0.022145009040832518,0.2537605953302492
128,18432,73728,128,torch.bfloat16,False,0.0065871477127075195,0.04414196729660034,0.1492264191228024
256,18432,73728,128,torch.bfloat16,False,0.012879624366760253,0.08816794395446777,0.14608057973328298
512,18432,73728,128,torch.bfloat16,False,0.021554372310638427,0.17617534160614012,0.1223461360377303
1024,18432,73728,128,torch.bfloat16,False,0.043099803924560545,0.35204611778259276,0.12242658489186059

